Nov 29, 2011$&;أهم نتائج المشهد الانتخابي بالأمس.. ١- ثورة حزب الكنبة على الكنبة. ٢- وقوف العباسية والتحرير في نفس الطابور. ٣- كشف زيف الاعلام ونفاقه. ٤- كشف حقيقية ان الانفلات الأمني مصطنع. ٥- محدش يقدر يراوغ في موضوع نقل السلطة. ٦- اذا الشعب يوماً اراد الديموقراطية فلا بد أن يستجيب القدر. ..... الطريق لسه طويل... وربنا يتمها بخير.
Nov 28, 2011$&;ريم ماجد على اون تي في ها يجيلها نقطة من اللي حصل النهاردة في الانتخابات .. وعايزة تثبت انها مزورة بأي طريقة. التعصب ببنط من عينيها.
Nov 28, 2011$&;ضباط وجنود مصر الأبطال المشرفون على تأمين العملية الانتخابية يسهمون بدور بطولي نبيل في استكمال بهاء المشهد الانتخابي. نجاح الانتخابات نجاح للثورة.. ونجاح للتحرير شكراً يا ثورة شكراً يا تحرير شكراً يا جيش شكراً يا مصر
Nov 28, 2011$&;انتخب.. فهذا حقك.. وهذا أول استحقاقات نقل السلطة للمدنيين... انتخب وأبطل مخطط عرقلة التحول الديموقراطي انتخب لكن لا تنسى قضيتك الكبرى نحن في ظرف يجعلنا.. نأخذ من الميدان اليوم ما لن نأخذه من البرلمان غداً. فلا تترك فصيلاً معيناً في الميدان يقود الدفة بخلاف ما نرغب. الثورة ميدان وبرلمان
Nov 28, 2011$&;إحنا سبقناكم بيومين.. ربنا معاكم 1- حافظ على أمنك وأمن من يصوت معك. 2- انتخب من يرتاح له ضميرك. 3- اقبل النتيجة مهما كانت. أمن و نزاهة الانتخابات هي الخط الأحمر الآن... العبث بهما خنجر مسموم في قلب الثورة.
Nov 26, 2011$&;يا مصر اطلعي بقى من دماغي اتخذت قراراً فساعدوني عليه لن أشارك بموضوع جديد او تعليق حتى السبت القادم يمكن لما ابطل اكتب أفهم هذه هي المحاولة الخامسة وان شاء الله تنجح هذه المرة.
Nov 26, 2011$&;المخاض العسير يبشر بمولود عظيم
Nov 26, 2011$&;بكل الحماس الذي شاركت به في الميدان شارك في الانتخابات الميدان ضغط في الفضائيات اما الانتخابات فهي التغيير الواقعي على الارض سيتم تشكيل الحكومة على اي وضع.. وهي في النهاية مؤقتة ولكن اختيارك الشخصي هو المهم فليكن يوم الانتخابات عرساً مصرياً ديموقراطياً الثورة ميدان وبرلمان
Nov 26, 2011$&;اختفاء حازم ابو اسماعيل وعبد المنعم ابو الفتوح عن المشهد مساء أمس وغيابهم عن مداولات التحرير.. ربما يعني انهم لا يوافقون على ما يجري. غير الاسلاميين في الميدان لم يوقفوا حملاتهم الانتخابية والكنيسة تدعم مرشحيها في العلن والدعاية الانتخابية في الفضائيات على اشدها مطالب الميدان لم تكن بغرض تأجيل الانتخابات وانما بغرض التأكيد علي جديتها وان الشارع جاد في مسألة التحول بلا ابطاء ولا تنازلات الثورة ميدان وبرلمان والاسراع بتسليم السلطة هو الحل نستحق ان نكون افضل
Nov 26, 2011$&;تعنت التحرير في ادارة الازمة لم يعد مقبولاً والاسماء التي يطرحونها ليست محل اجماع هذا هو الثلث الأول من الجملة الثلث الثاني ان الذي اوصلنا الى ذلك هو قرار الاخوان بعدم المشاركة الثلث الثالث أن المستفيد من ذلك الانشقاق هو المجلس العسكري ...... الثورة ميدان وبرلمان والاسراع بتسليم السلطة هو الحل.
