1$&;Dec 1, 2011$&;هناك سر وراء استضافة القنوات الدينية للأستاذ خالد صلاح رئيس تحرير جريدة اليوم السابع. ........ اللي يعرفه يقول لي.$&;مواضيع خاصة$&;الشأن العام$&;العلمانيون والنخبة$&;$&;$&;$&;
2$&;Dec 1, 2011$&;أخشيى أن يكون تشكيل المجلس الاستشاري إعادة إنتاج للجنة وثيقة السلمي. اتساع العضوية في المجلس لا مبرر لها، وأخاف أن يتم استخدامه - وهو مجلس مؤقت غير منتخب- لسحب البساط من تحت الثوار أولاً... وليكون مخلباً قوية في مواجهة متوقعة ومؤجلة بين المجلس العسكري ومجلس الشعب المنتخب الذي يغلب عليه الإسلاميون.. خاصة بتشكيل أغلبه من العلمانيين الذين خافوا من خوض الانتخابات.. وقليل من الإسلاميين المستأنسين. ......... ابعد يا شيطان .. ابعد ديا شيطان ... ابعد يا شيطان$&;مواضيع خاصة$&;الشأن العام$&;تاريخ ثورة يناير$&;$&;$&;$&;
3$&;Dec 1, 2011$&;أدعو العلي القدير أن يكلل جهود شيخ الأزهر في الوساطة بين المعتصمين بالتحرير والمجلس العسكري بالنجاح. ....... مجرد هذه الوساطة هي شهادة في حقهم بالنزاهة والوطنية والشرف. أرجو ممن يهاجمهم من كل الاتجاهات أن يكفوا عن الهجوم عليهم ... خاصة ممن شاركهم أحداث 28 يناير فظلم ذوي القربى أشد مرارة.$&;مواضيع خاصة$&;الشأن العام$&;تاريخ ثورة يناير$&;$&;$&;$&;
4$&;Dec 1, 2011$&;قال لي: شوف بقي.. أفضل طريقة عشان نعمل توازن بعد هذا الفوز الكاسح للاسلاميبن في الانتخابات هو أننا ننتخب البرادعي رئيساً للجمهورية. ايه رأيك؟ قلت له: أسأل وأرد عليك. ...... وها أنذا أسأل.. ايه رأيكم.$&;مواضيع خاصة$&;الشأن العام$&;إسلاميون$&;$&;$&;$&;
5$&;Dec 1, 2011$&;في كل عصر وفي كل مصر أهل الكهف انهم فتية آمنوا بربهم ورفضوا أن يسبحوا بحمد جلاديهم خاصمهم الناس وتخلوا عنهم واتهموهم بالخروج علي القيم والعادات والمألوف لكنهم كانوا يرون الحق كما لا يراه سواهم ويصرون عليه كما لا يصر سواهم لم ينجحوا في الانتخابات لأنهم لم يشاركوا فيها لكنهم ظلوا دائماً القدوة والمثل الأعلي لكل المخلصين عندما يأذن الله لهم أن يعودوا للتأثير في الحياة سنعرف جميعاً أننا مدينون لهم بحريتنا وكرامتنا وشهرتنا وأرواحنا.$&;مواضيع خاصة$&;الشأن العام$&;تاريخ ثورة يناير$&;$&;$&;$&;
6$&;Dec 1, 2011$&;- ها تنتخب مين يا حاج؟ - ها تتخب الاسلاميين؟ - ليه يا حاج؟ - شوف يا ابني الناس دي طول عمرها مظلومة.. واللي اتظلم ما يعرفش يظلم. - بس مش خايف ليحرموا علينا كل حاجة باسم الدين؟ - يا ابني من ساعة ما وعيت ع الدنيا واحنا بيحكمنا ناس لا عندهم دين ولا ضمير.. خلينا نجرب الدين ونشوف ونحكم. ....... مسئوليتكم صعبة قوي يا رجالة ربنا معاكم$&;مواضيع خاصة$&;الشأن العام$&;إسلاميون$&;$&;$&;$&;
7$&;Dec 1, 2011$&;أصدر صاحب السمو الشيخ خليفة بن زايد عدة قرارات بمناسبة العيد الأربعين لدولة الامارات منها رفع رواتب موظفي الهيئات الاتحادية وإنشاء صندوق برأس مال ١٠ مليار درهم لمساعدة المعسرين في سداد القروض من المواطنين وتخصيص ٢٥٠٠ قطعة أرض للمواطنين لبناء فيلل عليها بقروض ميسرة، وعدة قرارات أخرى تهدف إلى خدمة المواطنين والتيسيير عليهم. ..... قبل عدة سنوات سأل صحفي أجنبي الشيخ زايد رحمه الله تعالى وقال له: عفواً سيدي.. أرى أنك تبالغ في تدليل شعبك.. تعليم وصحة وطرق وقروض لا تسدد ومنح للتعليم في الخارج وأراضي ومنازل.. وكل شئ يحصلون عليه بدون حتى أن يطلبوه أو يبذلوا جهداً لتحصيله. فقال الشيخ زايد رحمه الله: وماذا تريدني أن أفعل مع شعبي؟ أسجنه؟ أحبسه؟ أبقيه بلا تعليم ولا صحة؟ أجعله يعاني ويتألم؟ عجيب والله.. ما هو مفهوم الحاكم الصالح عندكم؟ فسكت الصحفي ولم يحر جواباً. ...... مبروك للامارات شيوخاً حكومة وشعباً ولكل المقيمين على أرضها الاحتفال بالعيد الاربعين لانشاء الدولة. ولي عودة باذن الله تعالى للحديث عن عبقرية الشيخ زايد طيب الله ثراه.. وهذه المعجزة التي قام بها بجهد ودأب واخلاص لتحويل الامارات المتخاصمة الى الامارات المتصالحة ثم الى الامارات العربية المتحدة والتي كانت تضم في احد محاولات انشائها كل من قطر والبحرين. ولا زال حلم الوحدة العربية قائماً في قلب ووجدان كل عربي.$&;مقالات$&;الشأن العام$&;$&;$&;$&;$&;
8$&;Dec 1, 2011$&;كلام مهم جداً جداً.. اعرف أين تضع نفسك على سلم التكوين الاخلاقي والمعرفي. ياريت كل من يقول خلينا في نفسنا ما لناش دعوة بحد.. مش مهم نحاسبهم ولا نحاكمهم المسامح كريم.. عاوزين ايه ثاني؟.. يار يت كل هؤلاء يقيموا أنفسهم ويعرفوا بأي مستوى عقلي او شعوري يفكرون.$&;مواضيع خاصة$&;القيادة والإدارة$&;شخصي$&;$&;$&;$&;
9$&;Dec 1, 2011$&;أتمنى في البرلمان القادم أن أرى عشرة أو عشرين شاباً من ممثلي الثورة. مع جمال التجربة التونسية لم ينجج منهم أحد هناك. أتمنى في البرلمان القادم أن يقل عدد منتسبي الحزب الوطني المنحل الى اقل من عشرين شخصاً وان يكون اداؤهم البرلماني تكفيراً لهم عن انتمائهم السابق. أتمنى في البرلمان القادم أن يكون الاخوان والسلفيون والليبراليون والقوميون والمستقلون ايد واحدة. أتمنى أن تكون حقوق شهداء التحرير ومصابيهم وتحويل المتهمين الى المحاكمة هي اولى مناقشات البرلمان الجديد قبل لجنة الدستور وقبل اي شئ آخر. أتمنى وما كل ما يتمنى المرء يدركه.$&;مواضيع خاصة$&;الشأن العام$&;تاريخ ثورة يناير$&;$&;$&;$&;
10$&;Dec 1, 2011$&;أوجه دعوة إلى المعتصمين في التحرير ومنهم أصدقاء أعزاء.. حقكم في التظاهر والاعتصام مكفول دائماً وفي أي وقت.. ولا أحد يستطيع أن يخرجكم منه بالقوة ما دمتم ملتزمين بالقانون. ودوركم في إيقاظ الهمم وإثباط مؤامرات التواطؤ والتعجيل بالانتخابات دور رائد.. بل إن الفضل الأول في المشهد الانتخابي الرائع الذي شهد له العالم كله هو لكم قبل أن يكون للشعب أو للجيش أو للشرطة أو القضاء. وحقوق إخوانكم الشهداء لن تضيع.. وهي ليست حقوقاً لاهلهم ولا لكم وحدكم ولكنها دين في رقبة كل مصري عليه وفاءه.. وهذه الحقوق لا تضيع ولو بعد عشرات السنين.. فاهدؤا بالاً وقروا عيناً. اليوم... وبعد أن دارت العجلة على طريق تحقيق مطالب الثورة التي بذلتم في سبيلها الغالي والنفيس.. حان وقت أن تعطوا لأنفسكم استراحة محارب.. نريد أن تظل ذكرى التحرير في قلوبنا ذكرى الاجتماع لا الفرقة.. وذكرى النور لا الظلام وذكرى الثوار لا البلطجية والباعة الجائلين. لا نريد للتحرير أن يكون نزيفاً في جسد الوطن، ولا نريد لقضيتكم النبيلة أن تكون قضية أقلية منبوذة في مناخ عام يطالبكم بالتهدئة دون التخلي عن المطالب وبإعطاء فرصة دون التنازل عن الحقوق. الشعب استجاب لمطالب نقل السلطة بطريقته فشارك في الانتخابات والحكومة استجابت فشكلت وزارة لشئون الثورة لتكون مطالبكم قانونية لا احتجاجية.. والمجلس العسكري قبل فكرة المجلس الاستشاري الموسع حتى لا يستأثر بالقرار في المرحلة الانتقالية.. وقد كان هذا حلماً لكم منذ شهور. لن نقبل أن يقول أحد عليكم أنكم تتاجرون بدم الشهداء.. ولا نقبل أن يدعي أحد عليكم أنكم عملاء .. وقطع لسان من يفتري عليكم في سلوككم وأخلاقكم.. وقد تركتم الفراش الوثير والتحفتم برد الشتاء القارس. أستحلفكم بالله أن تعودوا إلي بيوتكم فقد اشتاق أهلكم إليكم.. وقد أديتم مهمتكم وأوصلتم رسالتكم واضحة جلية. لا تحسبوها بطريقة المكسب والخسارة في جولة... فمعركة انتقال السلطة لا تزال طويلة.. وأنتم رأس الحربة فيها .. نريدكم بكامل قوتكم ولياقتكم.. قمتم من أجل الشعب.. وهو يقول لكم اليوم شكراً.. ويرجوكم خوفاً عليكم وحباً لكم أن تدخروا هذه الطاقة وهذا الحماس من أجل مطلب توافقي يجمع عليه المصريون. نحبكم عودوا إلى بيوتكم غفر الله لنا ولكم. وكفى الله المؤمنين شر القتال.$&;مقالات$&;الشأن العام$&;$&;$&;$&;$&;
